"serializedID","itemID","description","serial","colorName","sizeName","customerID","saleLineID","timeStamp"
"23","0","red strike, wire control panel near left thumb right rear reflector tighten","","","","26","0","2022-12-02T13:44:54+00:00"
"24","0","black trek, check balls an taint for proper taint to ball ratio, due to phalites tune-up new chain check headset","","green","","4","0","2022-12-02T13:21:07+00:00"
"25","0","Schwann Ebike, assembly","","","","27","0","2022-12-02T17:17:53+00:00"
"26","0","Emojo caddy on order","","","","28","0","2022-12-08T14:15:38+00:00"
"27","0","Schwinn tune-up","","","","29","0","2022-12-02T18:00:34+00:00"
"28","0","specialized, red, flood bike","","","","30","0","2022-12-02T19:42:09+00:00"
"29","0","sunlight front basket QR","","","","31","0","2022-12-02T20:00:27+00:00"
"30","0","Vilna x 2, assemble","","","","32","0","2022-12-02T20:58:06+00:00"
"31","0","26"" rear wheel, order new wheel","","","","33","0","2022-12-03T15:52:07+00:00"
"32","0","velotric, assemblyu","","","","34","0","2022-12-03T17:32:05+00:00"
"33","0","velotric, assemblyu","","","","34","0","2022-12-03T17:32:06+00:00"
"34","0","lectric x 2","","","","35","0","2022-12-03T18:15:20+00:00"
"35","0","nishiki x 2 pink, flood bikes","","","","36","0","2022-12-03T18:45:53+00:00"
"36","0","euphree, black murdered out, white assemble call when reay","","","","37","0","2022-12-03T18:59:19+00:00"
"37","0","Schwinn cruiser","","","","4","0","2022-12-04T13:26:43+00:00"
"38","0","priority x 2, assembly from beeline connect, due Dec 21st","","","","38","0","2022-12-04T19:33:44+00:00"
"39","0","emojo trike","","","","39","0","2022-12-04T17:56:09+00:00"
"40","0","pedego, black, rear tube, rear freewheel not disengaging, 2 new tires smooth tread","","","","40","0","2022-12-05T20:31:16+00:00"
"41","0","aventon, gold, rear spoke rubbing?","","","","41","0","2022-12-06T15:21:21+00:00"
"42","0","aventon, rear tube and tire","","","","42","0","2022-12-06T16:57:23+00:00"
"43","0","Marin Hybrid ","","BLK","","43","0","2022-12-06T17:38:35+00:00"
"44","0","iGo ebike, front left shifter","","","","44","0","2022-12-06T17:52:42+00:00"
"45","0","NO NAME Hybrid","","Blue","","45","0","2022-12-07T19:32:10+00:00"
"46","0","velotric, yellow, throttle plug or install charger, chain slipping","","","","46","0","2022-12-06T18:47:35+00:00"
"47","0","Black shitty ebike, battery not lasting","","","","47","0","2022-12-06T18:59:20+00:00"
"48","0","electra townie, make regular bike","","","","48","0","2022-12-06T20:48:48+00:00"
"49","0","elektra townie, tune-up","","","","49","0","2022-12-07T15:57:12+00:00"
"50","0","velowave, black, new brakes pads f&r, right hydraulic master cylinder","","","","50","0","2022-12-07T16:19:05+00:00"
"51","0","scooter will not charge","","","","51","0","2022-12-07T16:32:28+00:00"
"52","0","white ebike, motor not turning","","","","52","0","2022-12-07T18:30:42+00:00"
"53","0","Beach Cruiser","","Pink","","53","0","2022-12-07T18:34:56+00:00"
"54","0","Fuji Absolute, Flood Bike replace rusty bolts","","","","20","0","2022-12-07T19:15:36+00:00"
"55","0","2x euphree","","","","54","0","2022-12-07T19:24:25+00:00"
"56","0","2x euphree; friday delivery","","","","54","0","2022-12-09T12:39:05+00:00"
"57","0","Sunseeker trike, flood bike","","","","55","0","2022-12-07T20:14:13+00:00"
"58","0","Jucied E-Bike, front,rear bleed, new cylinders","","Matte Blk","","56","0","2022-12-07T20:57:47+00:00"
"59","0","black crappy bike, tune-up (minimal cost)","","","","57","0","2022-12-08T13:21:45+00:00"
"60","0","black crappy bike","","","","57","0","2022-12-08T13:21:29+00:00"
"61","0","fenders for pedago","","","","58","0","2022-12-08T16:10:08+00:00"
"62","0","unagi scooter, charge port","","","","59","0","2022-12-08T16:35:17+00:00"
"63","0","varla scooter, new tube/tire","","","","60","0","2022-12-08T16:37:09+00:00"
"64","0","velotric x 2, front tube, shifting on turquoise","","","","61","0","2022-12-08T17:31:22+00:00"
"65","0","custom kit","","","","62","0","2022-12-08T18:25:01+00:00"
"66","0","electra white, trek black; flood bikes","","","","63","0","2022-12-09T12:38:34+00:00"
"67","0","wilier road bike","","","","64","0","2022-12-09T17:04:14+00:00"
"68","0","fedex assembly","","","","65","0","2022-12-09T17:12:52+00:00"
"69","0","electra, teal; flood bike","","","","66","0","2022-12-09T17:55:00+00:00"
"70","0","schwinn izip ebike; replace tube in rear","","","","67","0","2022-12-09T18:18:32+00:00"
"71","0","25.4 (1 inch) quill extender (threadless headset)","","","","10","0","2022-12-09T18:49:37+00:00"
"72","0","yellow cruiser","","","","36","0","2022-12-09T22:25:10+00:00"
"73","0","rad city, white; flood bike","","","","68","0","2022-12-10T12:10:03+00:00"
"74","0","vilano bicycle","","","","69","0","2022-12-10T15:20:56+00:00"
"75","0","rad city","","","","70","0","2022-12-10T17:44:15+00:00"
"76","0","Emojo Bobcat","","red","","71","0","2022-12-10T19:14:30+00:00"
"77","0","trek","","brown","","36","0","2022-12-12T14:26:06+00:00"
"78","0","schwinn izip ebike","","silver","","67","0","2022-12-12T14:33:04+00:00"
"79","0","himiway","","","","72","0","2022-12-12T15:04:55+00:00"
"80","0","rad city step-thru","","white","","73","0","2022-12-13T12:56:03+00:00"
"81","0","ancheer","","black","","74","0","2022-12-13T15:47:25+00:00"
"82","0","elektra","","silver/grey","","75","0","2022-12-13T17:15:19+00:00"
"83","0","rear rack battery","","","","76","0","2022-12-13T18:30:40+00:00"
"84","0","Bike in box","","Brown","","77","0","2022-12-13T18:38:25+00:00"
"85","0","2 ebikes","","","","27","0","2022-12-13T19:06:00+00:00"
"86","0","26"" front wheel","","blk","","78","0","2022-12-13T20:02:10+00:00"
"87","0","Trek","","red","","79","0","2022-12-13T20:37:48+00:00"
"88","0","fuji","","silver","","80","0","2022-12-13T20:41:43+00:00"
"89","0","izip","","teal","","81","0","2022-12-14T17:03:01+00:00"
"90","0","tandem","","","","36","0","2022-12-14T17:12:23+00:00"
"91","0","snapcycle","","","","82","0","2022-12-14T19:21:07+00:00"
"92","0","trek 7300","","blk","","83","0","2022-12-14T19:49:53+00:00"
"93","0","aventon level","","brown/beige","","84","0","2022-12-14T20:43:41+00:00"
"94","0","specialized globe","","blk","","83","0","2022-12-15T16:14:31+00:00"
"95","0","Euphree white, snapcycle","","","","85","0","2022-12-15T16:45:24+00:00"
"96","0","Snapcycle R1 Step-thru","","","","86","0","2022-12-15T17:48:26+00:00"
"97","0","Ebike fat tire Folding","","Black","","88","0","2023-01-05T20:55:10+00:00"
"98","0","enguie","","","","89","0","2022-12-16T19:42:00+00:00"
"99","0","Tandem","","","","36","0","2022-12-16T21:01:31+00:00"
"100","0","trek 3700","","blk","","66","0","2022-12-16T21:23:16+00:00"
"101","0","lectric","","black","","90","0","2022-12-17T16:37:39+00:00"
"102","0","lectric","","white","","90","0","2022-12-17T16:38:53+00:00"
"103","0","Cannondale Slate Hybrid","","GRN","","91","0","2022-12-17T16:58:58+00:00"
"104","0","scooter tire","","","","92","0","2022-12-17T17:13:47+00:00"
"105","0","Folding E-Bike ","","WHT","","93","0","2022-12-17T17:55:20+00:00"
"106","0","f.s elite","","","","85","0","2022-12-17T18:40:28+00:00"
"107","0","SNap Cycle FAT","","Black","","94","0","2022-12-17T20:36:14+00:00"
"108","0","spokes/wheel","","","","95","0","2022-12-19T17:21:08+00:00"
"109","0","rad","","white","","96","0","2022-12-19T20:18:52+00:00"
"110","0","diamondback","","blue","","98","0","2022-12-20T15:11:22+00:00"
"111","0","handlebars","","","","69","0","2022-12-20T15:17:28+00:00"
"112","0","euphree","","","","99","0","2022-12-20T15:58:37+00:00"
"113","0","euphree","","","","99","0","2022-12-20T15:58:37+00:00"
"114","0","gotrax scooter","","blc/white","","100","0","2022-12-20T16:21:49+00:00"
"115","0","dorado battery","","","","101","0","2022-12-20T18:09:55+00:00"
"116","0","pedago","","platinum","","102","0","2022-12-20T19:27:08+00:00"
"117","0","diamondback","","silver","","103","0","2022-12-20T20:51:56+00:00"
"118","0","Faraday","","green","","104","0","2022-12-21T15:58:36+00:00"
"119","0","brake adjustment","","","","105","0","2022-12-21T17:01:53+00:00"
"120","0","36v battery","","","","76","0","2022-12-21T18:25:53+00:00"
"121","0","cannondale","","white","","72","0","2022-12-21T21:10:23+00:00"
"122","0","Trek-Pure","","Blue","","106","0","2022-12-22T16:01:12+00:00"
"123","0","Gary fisher","","red-silver","","107","0","2022-12-22T19:51:37+00:00"
"124","0","aventon","","green","","108","0","2022-12-23T15:13:31+00:00"
"125","0","lectric","","white","","109","0","2022-12-23T15:17:02+00:00"
"126","0","townie","","greenish","","110","0","2022-12-23T15:38:41+00:00"
"127","0","townie","","green","","106","0","2022-12-23T15:51:52+00:00"
"128","0","trek verve 2","","red","","111","0","2022-12-23T16:29:59+00:00"
"129","0","kona","","blka","","111","0","2022-12-23T16:31:11+00:00"
"130","0","lectric","","black","","112","0","2022-12-24T15:08:09+00:00"
"131","0","versa cruz","","","","113","0","2022-12-24T19:04:27+00:00"
"132","0","Giant","","blue","","114","0","2022-12-26T20:13:05+00:00"
"133","0","Batavus,green","","","","115","0","2022-12-27T15:18:01+00:00"
"134","0","x-treme e-bikes (blu and red)","","","","116","0","2022-12-27T18:19:59+00:00"
"135","0","Seatposts","","","","117","0","2022-12-28T17:29:26+00:00"
"136","0","Jetson, Black","","","","118","0","2022-12-28T18:23:06+00:00"
"137","0","F.S elite","","","","85","0","2022-12-29T16:21:19+00:00"
"138","0","Specialized","","","","40","0","2022-12-29T17:10:23+00:00"
"139","0","Hey bike, white","","","","119","0","2022-12-29T19:22:25+00:00"
"140","0","Huffy re","","","","120","0","2022-12-29T19:57:15+00:00"
"141","0","Aventon","","","","121","0","2022-12-29T21:12:13+00:00"
"142","0","Specialize blue, Schwinn, black","","","","122","0","2022-12-30T18:57:57+00:00"
"143","0","Specialized orange","","","","123","0","2023-01-07T20:21:39+00:00"
"144","0","Black Trek","","","","95","0","2022-12-31T16:02:40+00:00"
"145","0","Momentum sky blue","","","","124","0","2022-12-31T16:29:28+00:00"
"146","0","Momentum sky blue","","","","124","0","2022-12-31T16:29:28+00:00"
"147","0","Trek 7300 hybrid","","Blue/SIL","","125","0","2023-01-20T17:09:04+00:00"
"148","0","white ebike ""bike""","","","","76","0","2023-01-02T16:06:26+00:00"
"149","0","mongoose","","silver","","126","0","2023-01-02T17:10:08+00:00"
"150","0","trek","","teal","","127","0","2023-01-02T17:42:21+00:00"
"151","0","elektra","","blue","","127","0","2023-01-02T18:28:22+00:00"
"152","0","haoqi ebike","","","","128","0","2023-01-02T20:43:10+00:00"
"153","0","jamis","","blue","","129","0","2023-01-03T14:34:14+00:00"
"154","0","diamondback","","red/","","130","0","2023-01-03T14:59:57+00:00"
"155","0","schwinn trike","","blue","","131","0","2023-01-03T16:21:00+00:00"
"156","0","fuji barnabi PICK UP ON 29th","","black","1/2","132","0","2023-01-20T14:09:18+00:00"
"157","0","fuji PICK UP ON 29th","","pink","2/2","132","0","2023-01-20T14:09:07+00:00"
"158","0","trek","","white","2/2","133","0","2023-01-20T13:57:21+00:00"
"159","0","trek","","black","1/2","133","0","2023-01-20T13:57:14+00:00"
"160","0","trek","","silver","","134","0","2023-01-04T15:07:52+00:00"
"161","0","trek","","greyish","","134","0","2023-01-04T15:08:20+00:00"
"162","0","Green Specialized","","","","135","0","2023-01-04T15:51:03+00:00"
"163","0","mongoose","","","","126","0","2023-01-04T16:32:03+00:00"
"164","0","rad rover","","white","","136","0","2023-01-04T16:36:36+00:00"
"165","0","electra townie","","grey","","137","0","2023-01-04T16:53:06+00:00"
"166","0","hard rock","","blue","","138","0","2023-01-04T16:58:04+00:00"
"167","0","jamis citizen 2","","grey","1/2","38","0","2023-01-20T13:56:57+00:00"
"168","0","cannondale","","white","2/2","38","0","2023-01-20T13:57:05+00:00"
"169","0","lectric","","white","","139","0","2023-01-04T17:54:50+00:00"
"170","0","specialized mens","","gray","","140","0","2023-01-04T19:20:14+00:00"
"171","0","specialized ","","grey","1/2","140","0","2023-01-07T15:48:34+00:00"
"172","0","specialized womens","","white","2/2","140","0","2023-01-07T15:48:43+00:00"
"173","0","schwinn","","black/green","","141","0","2023-01-04T19:23:28+00:00"
"174","0","specialized","","blue","","141","0","2023-01-04T19:24:16+00:00"
"175","0","schwinn","","blue","","142","0","2023-01-04T20:00:58+00:00"
"176","0","macwheel","","black","","143","0","2023-01-04T20:09:04+00:00"
"177","0","lectric","","black","","144","0","2023-01-05T15:38:10+00:00"
"178","0","euphree","","blue","","145","0","2023-01-05T15:44:23+00:00"
"179","0","euphree","","blue","","146","0","2023-01-05T16:00:56+00:00"
"180","0","trek","","blk/silver","","147","0","2023-01-05T17:00:39+00:00"
"181","0","rad step-thru","","","","148","0","2023-01-05T18:45:56+00:00"
"182","0","Retro Spec","","Blk","","149","0","2023-01-05T19:26:00+00:00"
"183","0","hybrid bike inquiry","","","","150","0","2023-01-05T20:37:52+00:00"
"184","0","Hyper Ebike","","Black","","151","0","2023-01-05T21:05:27+00:00"
"185","0","Felt Hybrid ","","Blk","","152","0","2023-01-05T21:11:30+00:00"
"186","0","Jamis Boss","","Purp","","152","0","2023-01-05T21:12:22+00:00"
"187","0","lectric","","beige","","153","0","2023-01-06T15:25:56+00:00"
"188","0","marin 1/2","","silver","","154","0","2023-01-06T15:34:13+00:00"
"189","0","marin 2/2","","silver","","154","0","2023-01-06T15:34:52+00:00"
"190","0","next monterey bay","","blue/silver","","155","0","2023-01-06T16:54:06+00:00"
"191","0","priority current","","black","","156","0","2023-01-06T18:34:42+00:00"
"192","0","priority current","","white","","156","0","2023-01-06T18:35:42+00:00"
"193","0","fuji","","bluish","1/2","134","0","2023-01-06T18:53:52+00:00"
"194","0","fuji","","bluish","2/2","134","0","2023-01-06T18:54:55+00:00"
"195","0","electra","1/2","blue","1/2","157","0","2023-01-07T15:48:24+00:00"
"196","0","electra","","light blue 2/2","","157","0","2023-01-07T15:47:59+00:00"
"197","0","Scwhinn red-black","","","","158","0","2023-01-07T16:37:36+00:00"
"198","0","Fuji Hybrid","","White","","123","0","2023-01-07T20:18:03+00:00"
"199","0","4 bikes ","","","","159","0","2023-01-08T16:23:26+00:00"
"200","0","boss infinity","","white","","160","0","2023-01-09T17:41:30+00:00"
"201","0","boss infinity","","white","","160","0","2023-01-09T17:42:43+00:00"
"202","0","strider kids bike","","","1/3","161","0","2023-01-09T17:47:37+00:00"
"203","0","Priority","","green","","161","0","2023-01-09T17:48:27+00:00"
"204","0","Priority","","blue","","161","0","2023-01-09T17:49:00+00:00"
"205","0","urban","","teal","","162","0","2023-01-10T15:07:29+00:00"
"206","0","rad power","","","","163","0","2023-01-10T15:15:43+00:00"
"207","0","scott metrix","","white","","164","0","2023-01-10T15:19:52+00:00"
"208","0","scott metrix","","black","","164","0","2023-01-10T15:22:08+00:00"
"209","0","roadmaster","","","","165","0","2023-01-10T15:54:01+00:00"
"210","0","roadmaster","","black","","165","0","2023-01-10T15:54:13+00:00"
"211","0","roadmaster","","blue","","165","0","2023-01-10T15:54:41+00:00"
"212","0","hailong battery","","","","166","0","2023-01-10T15:57:25+00:00"
"213","0","big cat","","white","","167","0","2023-01-10T16:19:24+00:00"
"214","0","euphree","","green","","168","0","2023-01-10T17:30:00+00:00"
"215","0","aventon","","blue/grey","","169","0","2023-01-10T17:46:40+00:00"
"216","0","Priority Cursier Low Step","","White","","170","0","2023-01-10T18:21:06+00:00"
"217","0","pedago","","red","","171","0","2023-01-10T18:30:00+00:00"
"218","0","cozytrike","","blue","","172","0","2023-01-10T19:24:37+00:00"
"219","0","Treke verve 2","","grey","","173","0","2023-01-10T19:58:20+00:00"
"220","0","gary fisher","","grey","","174","0","2023-01-10T20:17:43+00:00"
"221","0","Jamis Touring bike","","Black","","123","0","2023-01-11T19:41:24+00:00"
"222","0","Hibike folding","","BLK","","175","0","2023-01-11T16:07:56+00:00"
"223","0","29er R wheel","","RED","","176","0","2023-01-11T16:18:25+00:00"
"224","0","2 wheels","","","","177","0","2023-01-11T16:51:00+00:00"
"225","0","4 bikes","","","","178","0","2023-02-15T13:43:51+00:00"
"226","0","urban","","grey","","162","0","2023-01-11T21:05:45+00:00"
"227","0","aventon","","black","","179","0","2023-01-12T15:03:44+00:00"
"228","0","Priority","","","","180","0","2023-01-12T15:38:13+00:00"
"229","0","lectric","","black","","181","0","2023-01-12T15:47:48+00:00"
"230","0","lectric","","black","","181","0","2023-01-12T15:48:49+00:00"
"231","0","trek","","","","182","0","2023-01-12T15:57:16+00:00"
"232","0","trek","","grey/white","","182","0","2023-01-12T16:27:55+00:00"
"233","0","rad","","black","","183","0","2023-02-02T21:21:38+00:00"
"234","0","rad","","","","184","0","2023-01-12T16:46:36+00:00"
"235","0","battery","","black","","185","0","2023-01-12T17:05:53+00:00"
"236","0","greenbikes","","white","","186","0","2023-01-12T19:25:58+00:00"
"237","0","6 flood bikes, couple at a time","","","","111","0","2023-01-12T21:06:49+00:00"
"238","0","r","","","","9","0","2023-01-12T22:23:08+00:00"
"239","0","RAD folding e bike","","GRN","","9","0","2023-01-12T22:23:29+00:00"
"240","0","Scooter","","RED","","187","0","2023-01-12T22:24:09+00:00"
"241","0","rad city","","green","","70","0","2023-01-17T21:34:20+00:00"
"242","0","giant","","red","","188","0","2023-01-13T16:45:49+00:00"
"243","0","giant","","yellow","","188","0","2023-01-13T16:47:02+00:00"
"244","0","cannondale","","black","1/2","189","0","2023-02-18T14:18:20+00:00"
"245","0","euphree","","blue","","190","0","2023-01-14T15:02:13+00:00"
"246","0","GT","","blue","","192","0","2023-01-14T15:36:51+00:00"
"247","0","euphree, 2x","","black,white","","193","0","2023-01-14T16:26:54+00:00"
"248","0","trike wheel","","","24","194","0","2023-01-14T17:07:29+00:00"
"249","0","electra","","black","","194","0","2023-01-14T17:12:11+00:00"
"250","0","euphree colors","","all colors","","195","0","2023-01-14T17:20:14+00:00"
"251","0","SMLRO ebike","","White,red","","196","0","2023-01-14T18:30:24+00:00"
"252","0","trek pilot","","maroon","","197","0","2023-01-14T19:04:23+00:00"
"253","0","No Bike","","","","198","0","2023-01-14T21:00:04+00:00"
"254","0","euphree REAR basket","","","","199","0","2023-01-17T21:11:21+00:00"
"255","0","blix","","green/blue","","200","0","2023-01-16T17:39:16+00:00"
"256","0","euphree","","blue","","201","0","2023-01-16T19:31:37+00:00"
"257","0","schwinn","","grey/red","1","202","0","2023-01-17T15:18:06+00:00"
"258","0","townie","","orange","","203","0","2023-01-17T15:42:02+00:00"
"259","0","Schwinn Crusier","","YEL","","204","0","2023-01-17T16:21:31+00:00"
"260","0","euphree OLD MODEL","","white","","205","0","2023-01-17T22:46:19+00:00"
"261","0","schwinn","","blk/green","","206","0","2023-01-17T17:02:10+00:00"
"262","0","kryptonite lock, rear basket","","blue","","207","0","2023-01-17T21:55:17+00:00"
"263","0","euphree x2","","black, white","","208","0","2023-01-17T17:58:02+00:00"
"264","0","hyper custom","","black","","209","0","2023-01-17T19:42:28+00:00"
"265","0","emojo ram","","","","210","0","2023-01-17T19:54:31+00:00"
"266","0","euphree HOLD","","white","","211","0","2023-01-17T20:27:17+00:00"
"267","0","trek, vrc","","red, blue","","212","0","2023-01-17T20:37:29+00:00"
"268","0","3-prong female port","","","","213","0","2023-01-17T20:43:07+00:00"
"269","0","black ebike WRONG NUMBER","","","","214","0","2023-01-19T13:13:15+00:00"
"270","0","euphree basket, lock","","","","215","0","2023-01-17T22:45:37+00:00"
"271","0","black ebike (greenbikes)","","black","","216","0","2023-01-18T14:54:33+00:00"
"272","0","Totem","","blac-red","","217","0","2023-01-18T15:24:10+00:00"
"273","0","aventon","","white","500","218","0","2023-01-20T14:47:00+00:00"
"274","0","euphree","","blue","","219","0","2023-01-20T13:21:06+00:00"
"275","0","huffy x 2","","","","220","0","2023-01-18T16:18:46+00:00"
"276","0","specialized","","blue","","221","0","2023-01-18T16:33:07+00:00"
"277","0","2 bikes","","","","222","0","2023-01-18T16:57:51+00:00"
"278","0","swift ebike","","","","223","0","2023-01-18T17:14:40+00:00"
"279","0","2 bikes","","","","224","0","2023-01-18T17:18:27+00:00"
"280","0","gs20","","","","225","0","2023-01-18T17:38:25+00:00"
"281","0","6 bikes","","","","226","0","2023-01-18T18:40:31+00:00"
"282","0","Euphree x 2","","BLUE","","227","0","2023-01-18T19:18:37+00:00"
"283","0","specialized","","silver","","225","0","2023-01-18T20:20:16+00:00"
"284","0","euphree","","black","","228","0","2023-01-19T14:55:03+00:00"
"285","0","Sun Hybrid north bay","","black","","229","0","2023-01-19T15:42:38+00:00"
"286","0","aventon","","maroon","","230","0","2023-01-19T17:50:28+00:00"
"287","0","2 rentals","","","","231","0","2023-01-19T16:57:13+00:00"
"288","0","lazy bird saddle, euphree rear basket","","","","232","0","2023-01-19T18:00:54+00:00"
"289","0","euphree","","white","","233","0","2023-01-19T19:32:50+00:00"
"290","0","specialized crossroads","","maroon","2/2","234","0","2023-01-20T13:56:45+00:00"
"291","0","schwinn ","","maroon 1/2","","234","0","2023-01-20T13:56:34+00:00"
"292","0","Jamis Boss Crusier","","Mint","","182","0","2023-01-20T15:18:12+00:00"
"293","0","Trek 7300 Lowstep","","Beige ","","125","0","2023-01-20T17:10:27+00:00"
"294","0","Addmotor E-Bike Folding","","Blk/Org","","235","0","2023-01-21T16:37:21+00:00"
"295","0","Euphree","","Blue","","219","0","2023-01-20T17:44:39+00:00"
"296","0","RAD Folding","","Black","","148","0","2023-01-20T17:57:00+00:00"
"297","0","RAD Folding","","GRN","","148","0","2023-01-20T17:59:49+00:00"
"298","0","Giant","","Blue","","236","0","2023-01-20T20:17:41+00:00"
"299","0","Schwinn Beach Crusier","","Black","","238","0","2023-01-20T21:54:06+00:00"
"300","0","Kent Ebike","","Grey","","239","0","2023-01-20T21:14:20+00:00"
"301","0","Trek","","Greyish","","125","0","2023-01-21T16:13:59+00:00"
"302","0","euphree black","","","","240","0","2023-01-24T17:09:59+00:00"
"303","0","northrock","","black","","241","0","2023-01-21T17:26:31+00:00"
"304","0","euphree","","","","242","0","2023-01-21T17:51:58+00:00"
"305","0","euphree x2","","blue, black","","243","0","2023-01-21T17:57:05+00:00"
"306","0","specialized","","","1,2,3/4","245","0","2023-02-03T15:29:10+00:00"
"307","0","scooter","","grey","","246","0","2023-01-21T19:39:22+00:00"
"308","0","Priority","","current","","247","0","2023-01-23T16:52:44+00:00"
"309","0","trek","","blue","","248","0","2023-01-23T17:30:48+00:00"
"310","0","HeyBike b","","black","","249","0","2023-01-23T19:45:13+00:00"
"311","0","Cyrusher ","","white","1/2","250","0","2023-01-24T14:50:10+00:00"
"312","0","Cyrusher ","","Green","2/2","250","0","2023-01-24T14:51:38+00:00"
"313","0","Roadmaster ","","Blue","","251","0","2023-01-24T15:05:05+00:00"
"314","0","Raleigh","","Blue","","252","0","2023-01-24T15:47:04+00:00"
"315","0","Jetson ","","Black","","253","0","2023-01-24T16:25:03+00:00"
"316","0","Schwinn","","Gray","","254","0","2023-01-24T16:42:58+00:00"
"317","0","euphree","","white","","255","0","2023-01-24T16:57:49+00:00"
"318","0","schwinn ranger","","purple","","256","0","2023-01-24T17:00:45+00:00"
"319","0","Trek","","Light tan","","257","0","2023-01-24T20:54:17+00:00"
"320","0","Trek","","","","257","0","2023-01-24T20:55:05+00:00"
"321","0","emojo caddy pro","","white","","258","0","2023-01-24T21:09:39+00:00"
"322","0","city premium","","white","","259","0","2023-01-24T23:24:26+00:00"
"323","0","trike","","red","","261","0","2023-01-25T15:17:51+00:00"
"324","0","Supercycle Touring","","Blue","","262","0","2023-01-25T16:32:37+00:00"
"325","0","mainstreet","","white","","263","0","2023-01-25T16:45:50+00:00"
"326","0","townie","","blue","","264","0","2023-04-26T16:12:51+00:00"
"327","0","euphree battery lock","","","","145","0","2023-01-25T17:47:22+00:00"
"328","0","euphree","","","","265","0","2023-01-25T17:56:07+00:00"
"329","0","blix","","green","","267","0","2023-01-25T18:39:46+00:00"
"330","0","3g","","white","","268","0","2023-01-25T19:19:55+00:00"
"331","0","euphree","","","","269","0","2023-01-25T19:56:41+00:00"
"332","0","euphree","","blue","","270","0","2023-01-25T20:57:13+00:00"
"333","0","cleary","","pink","kids","161","0","2023-01-26T14:47:36+00:00"
"334","0","cleary","","","","161","0","2023-01-26T14:47:07+00:00"
"335","0","lectric","","black","","271","0","2023-01-26T15:24:08+00:00"
"336","0","mongoose","","silver","","272","0","2023-01-26T15:31:56+00:00"
"337","0","astromotor","","black","","273","0","2023-01-28T13:42:07+00:00"
"338","0","rad","","white","step-thru","274","0","2023-01-26T16:21:16+00:00"
"339","0","rad","","city","step-thru","274","0","2023-01-26T16:22:24+00:00"
"340","0","rad city","","black","step-thru","274","0","2023-01-26T16:35:39+00:00"
"341","0","euphree","","","","275","0","2023-01-26T17:37:39+00:00"
"342","0","diamondback","","black","","276","0","2023-01-26T18:46:42+00:00"
"343","0","euphree","","","","277","0","2023-01-26T19:00:00+00:00"
"344","0","scooter","","","","278","0","2023-01-26T20:05:15+00:00"
"345","0","2 bikes","","","","279","0","2023-01-26T20:38:21+00:00"
"346","0","lectric","","black","","280","0","2023-01-27T16:56:57+00:00"
"347","0","santa monica","","silver","","281","0","2023-01-27T18:13:05+00:00"
"348","0","euphree","","","","282","0","2023-01-27T18:43:59+00:00"
"349","0","euphree","","","","283","0","2023-01-27T19:35:01+00:00"
"350","0","bosch mid drive motor","","","","284","0","2023-01-27T20:38:57+00:00"
"351","0","Sixthreezero men's ","","blk","1/2","285","0","2023-01-28T15:10:43+00:00"
